# 이 파일은 www.edumgt.co.kr 의 에듀엠지티에 저작권이 있습니다
class,day,slot,subject_code,subject_name,subject_session,module,level,md_file,lm_studio_level
class001,1,1,정규교과-1,Python 프로그래밍,1/40,수업 준비 1: 필수 플랫폼 가입/계정 설정 (class001) · 단계 1/1 입문 이해 [class001],입문,pyBasics/class001/class001.md,레벨1-입문
class002,1,2,정규교과-1,Python 프로그래밍,2/40,수업 준비 2: 필수 소프트웨어 설치 (class002) · 단계 1/1 입문 이해 [class002],입문,pyBasics/class002/class002.md,레벨1-입문
class003,1,3,정규교과-1,Python 프로그래밍,3/40,수업 준비 3: 개발환경 검증/실행 확인 (class003) · 단계 1/1 입문 이해 [class003],입문,pyBasics/class003/class003.md,레벨1-입문
class004,1,4,정규교과-1,Python 프로그래밍,4/40,Python 기초 시작: 변수와 출력 첫 실행 (class004) · 단계 1/1 입문 이해 [class004],입문,pyBasics/class004/class004.md,레벨1-입문
class005,1,5,정규교과-1,Python 프로그래밍,5/40,변수와 자료형 · 단계 1/4 입문 이해 [class005],입문,pyBasics/class005/class005.md,레벨1-입문
class006,1,6,정규교과-1,Python 프로그래밍,6/40,변수와 자료형 · 단계 2/4 기초 구현 [class006],입문,pyBasics/class006/class006.md,레벨1-입문
class007,1,7,정규교과-1,Python 프로그래밍,7/40,변수와 자료형 · 단계 3/4 실전 검증 [class007],입문,pyBasics/class007/class007.md,레벨1-입문
class008,1,8,정규교과-1,Python 프로그래밍,8/40,변수와 자료형 · 단계 4/4 운영 최적화 [class008],입문,pyBasics/class008/class008.md,레벨1-입문
class009,2,1,정규교과-1,Python 프로그래밍,9/40,연산자와 조건문 · 단계 1/4 입문 이해 [class009],기초응용,pyBasics/class009/class009.md,레벨1-입문
class010,2,2,정규교과-1,Python 프로그래밍,10/40,연산자와 조건문 · 단계 2/4 기초 구현 [class010],기초응용,pyBasics/class010/class010.md,레벨1-입문
class011,2,3,정규교과-1,Python 프로그래밍,11/40,연산자와 조건문 · 단계 3/4 실전 검증 [class011],기초응용,pyBasics/class011/class011.md,레벨1-입문
class012,2,4,정규교과-1,Python 프로그래밍,12/40,연산자와 조건문 · 단계 4/4 운영 최적화 [class012],기초응용,pyBasics/class012/class012.md,레벨1-입문
class013,2,5,정규교과-1,Python 프로그래밍,13/40,반복문과 흐름제어 · 단계 1/4 입문 이해 [class013],기초응용,pyBasics/class013/class013.md,레벨1-입문
class014,2,6,정규교과-1,Python 프로그래밍,14/40,반복문과 흐름제어 · 단계 2/4 기초 구현 [class014],기초응용,pyBasics/class014/class014.md,레벨1-입문
class015,2,7,정규교과-1,Python 프로그래밍,15/40,반복문과 흐름제어 · 단계 3/4 실전 검증 [class015],기초응용,pyBasics/class015/class015.md,레벨1-입문
class016,2,8,정규교과-1,Python 프로그래밍,16/40,반복문과 흐름제어 · 단계 4/4 운영 최적화 [class016],기초응용,pyBasics/class016/class016.md,레벨1-입문
class017,3,1,정규교과-1,Python 프로그래밍,17/40,함수와 모듈 · 단계 1/4 입문 이해 [class017],기초응용,pyBasics/class017/class017.md,레벨1-입문
class018,3,2,정규교과-1,Python 프로그래밍,18/40,함수와 모듈 · 단계 2/4 기초 구현 [class018],기초응용,pyBasics/class018/class018.md,레벨1-입문
class019,3,3,정규교과-1,Python 프로그래밍,19/40,함수와 모듈 · 단계 3/4 실전 검증 [class019],기초응용,pyBasics/class019/class019.md,레벨1-입문
class020,3,4,정규교과-1,Python 프로그래밍,20/40,함수와 모듈 · 단계 4/4 운영 최적화 [class020],기초응용,pyBasics/class020/class020.md,레벨1-입문
class021,3,5,정규교과-1,Python 프로그래밍,21/40,컬렉션 자료구조 · 단계 1/4 입문 이해 [class021],기초응용,pyBasics/class021/class021.md,레벨1-입문
class022,3,6,정규교과-1,Python 프로그래밍,22/40,컬렉션 자료구조 · 단계 2/4 기초 구현 [class022],기초응용,pyBasics/class022/class022.md,레벨1-입문
class023,3,7,정규교과-1,Python 프로그래밍,23/40,컬렉션 자료구조 · 단계 3/4 실전 검증 [class023],기초응용,pyBasics/class023/class023.md,레벨1-입문
class024,3,8,정규교과-1,Python 프로그래밍,24/40,컬렉션 자료구조 · 단계 4/4 운영 최적화 [class024],기초응용,pyBasics/class024/class024.md,레벨1-입문
class025,4,1,정규교과-1,Python 프로그래밍,25/40,파일 입출력 · 단계 1/4 입문 이해 [class025],기초응용,pyBasics/class025/class025.md,레벨1-입문
class026,4,2,정규교과-1,Python 프로그래밍,26/40,파일 입출력 · 단계 2/4 기초 구현 [class026],기초응용,pyBasics/class026/class026.md,레벨1-입문
class027,4,3,정규교과-1,Python 프로그래밍,27/40,파일 입출력 · 단계 3/4 실전 검증 [class027],기초응용,pyBasics/class027/class027.md,레벨1-입문
class028,4,4,정규교과-1,Python 프로그래밍,28/40,파일 입출력 · 단계 4/4 운영 최적화 [class028],기초응용,pyBasics/class028/class028.md,레벨1-입문
class029,4,5,정규교과-1,Python 프로그래밍,29/40,웹 프론트엔드 기초 (HTML/CSS/JS) · 단계 1/2 입문 이해 [class029],실전심화,pyBasics/class029/class029.md,레벨1-입문
class030,4,6,정규교과-1,Python 프로그래밍,30/40,웹 프론트엔드 기초 (HTML/CSS/JS) · 단계 2/2 운영 최적화 [class030],실전심화,pyBasics/class030/class030.md,레벨1-입문
class031,4,7,정규교과-1,Python 프로그래밍,31/40,Tailwind CSS와 UI 컴포넌트 · 단계 1/2 입문 이해 [class031],실전심화,pyBasics/class031/class031.md,레벨1-입문
class032,4,8,정규교과-1,Python 프로그래밍,32/40,Tailwind CSS와 UI 컴포넌트 · 단계 2/2 운영 최적화 [class032],실전심화,pyBasics/class032/class032.md,레벨1-입문
class033,5,1,정규교과-1,Python 프로그래밍,33/40,Python 외부 라이브러리 활용 · 단계 1/2 입문 이해 [class033],실전심화,pyBasics/class033/class033.md,레벨1-입문
class034,5,2,정규교과-1,Python 프로그래밍,34/40,Python 외부 라이브러리 활용 · 단계 2/2 운영 최적화 [class034],실전심화,pyBasics/class034/class034.md,레벨1-입문
class035,5,3,정규교과-1,Python 프로그래밍,35/40,API 기본 개념과 HTTP · 단계 1/2 입문 이해 [class035],실전심화,pyBasics/class035/class035.md,레벨1-입문
class036,5,4,정규교과-1,Python 프로그래밍,36/40,API 기본 개념과 HTTP · 단계 2/2 운영 최적화 [class036],실전심화,pyBasics/class036/class036.md,레벨1-입문
class037,5,5,정규교과-1,Python 프로그래밍,37/40,FastAPI와 Uvicorn · 단계 1/2 입문 이해 [class037],실전심화,pyBasics/class037/class037.md,레벨1-입문
class038,5,6,정규교과-1,Python 프로그래밍,38/40,FastAPI와 Uvicorn · 단계 2/2 운영 최적화 [class038],실전심화,pyBasics/class038/class038.md,레벨1-입문
class039,5,7,정규교과-1,Python 프로그래밍,39/40,API 명세서와 개발자 문서화 · 단계 1/2 입문 이해 [class039],실전심화,pyBasics/class039/class039.md,레벨1-입문
class040,5,8,정규교과-1,Python 프로그래밍,40/40,API 명세서와 개발자 문서화 · 단계 2/2 운영 최적화 [class040],실전심화,pyBasics/class040/class040.md,레벨1-입문
class041,6,1,정규교과-2,Python 전처리 및 시각화,1/40,데이터 분석 환경 구성 · 단계 1/4 입문 이해 [class041],입문,dataVizPrep/class041/class041.md,레벨2-기초
class042,6,2,정규교과-2,Python 전처리 및 시각화,2/40,데이터 분석 환경 구성 · 단계 2/4 기초 구현 [class042],입문,dataVizPrep/class042/class042.md,레벨2-기초
class043,6,3,정규교과-2,Python 전처리 및 시각화,3/40,데이터 분석 환경 구성 · 단계 3/4 실전 검증 [class043],입문,dataVizPrep/class043/class043.md,레벨2-기초
class044,6,4,정규교과-2,Python 전처리 및 시각화,4/40,데이터 분석 환경 구성 · 단계 4/4 운영 최적화 [class044],입문,dataVizPrep/class044/class044.md,레벨2-기초
class045,6,5,정규교과-2,Python 전처리 및 시각화,5/40,NumPy 기초 · 단계 1/4 입문 이해 [class045],입문,dataVizPrep/class045/class045.md,레벨2-기초
class046,6,6,정규교과-2,Python 전처리 및 시각화,6/40,NumPy 기초 · 단계 2/4 기초 구현 [class046],입문,dataVizPrep/class046/class046.md,레벨2-기초
class047,6,7,정규교과-2,Python 전처리 및 시각화,7/40,NumPy 기초 · 단계 3/4 실전 검증 [class047],입문,dataVizPrep/class047/class047.md,레벨2-기초
class048,6,8,정규교과-2,Python 전처리 및 시각화,8/40,NumPy 기초 · 단계 4/4 운영 최적화 [class048],입문,dataVizPrep/class048/class048.md,레벨2-기초
